template,seed,grid_ms,astar_ms,path_len,width,height
temperate_plains,7,43.127,0.579,41,96,72
temperate_plains,23,27.222,0.155,30,96,72
temperate_plains,97,21.532,0.248,37,96,72
temperate_plains,2026,17.675,4.772,86,96,72
rugged_highlands,7,21.193,0.236,69,96,72
rugged_highlands,23,13.825,0.563,83,96,72
rugged_highlands,97,14.022,0.184,98,96,72
rugged_highlands,2026,14.245,0.101,30,96,72
archipelago_isles,7,7.201,0.172,103,96,72
archipelago_isles,23,6.448,0.055,39,96,72
archipelago_isles,97,6.625,0.039,32,96,72
archipelago_isles,2026,7.607,0.091,77,96,72
coastal_ocean,7,11.281,0.096,100,96,72
coastal_ocean,23,11.324,0.098,104,96,72
coastal_ocean,97,8.726,0.079,61,96,72
coastal_ocean,2026,8.615,0.056,44,96,72
fertile_riverlands,7,17.399,0.038,22,96,72
fertile_riverlands,23,15.295,0.130,88,96,72
fertile_riverlands,97,15.450,0.074,40,96,72
fertile_riverlands,2026,16.454,0.050,30,96,72
fortified_basin,7,15.660,0.060,70,96,72
fortified_basin,23,15.957,0.037,23,96,72
fortified_basin,97,15.593,0.131,0,96,72
fortified_basin,2026,16.788,0.444,135,96,72
